"No.","Time","Source","Destination","Protocol","Length","Info","RTT","Lost Segement","Duplicate","Retransmission","IDK"
"2034","62.842174580","10.10.3.105","10.10.3.102","MPTCP","80","55084  >  5201 [ACK] Seq=142 Ack=5 Win=64256 Len=0 TSval=2010520500 TSecr=1041647087","0.000104029","","","",""
"2035","62.842268543","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=38 Ack=1 Win=64256 Len=2848 TSval=2010520500 TSecr=1041646983","","","","",""
"2036","62.842268797","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=2886 Ack=1 Win=64256 Len=2848 TSval=2010520500 TSecr=1041646983","","","","",""
"2037","62.842351063","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=5734 Ack=1 Win=64256 Len=2848 TSval=2010520500 TSecr=1041646983","","","","",""
"2038","62.842351274","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=8582 Ack=1 Win=64256 Len=2848 TSval=2010520500 TSecr=1041646983","","","","",""
"2039","62.842405545","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=11430 Ack=1 Win=64256 Len=2848 TSval=2010520500 TSecr=1041646983","","","","",""
"2042","62.931562976","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  55092 [ACK] Seq=1 Ack=11430 Win=57344 Len=0 TSval=1041647201 TSecr=2010520500","0.089211702","","","",""
"2043","62.931982594","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=14278 Ack=1 Win=64256 Len=2848 TSval=2010520590 TSecr=1041647201","","","","",""
"2044","62.932071472","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=17126 Ack=1 Win=64256 Len=2848 TSval=2010520590 TSecr=1041647201","","","","",""
"2045","62.932071691","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=19974 Ack=1 Win=64256 Len=2848 TSval=2010520590 TSecr=1041647201","","","","",""
"2046","62.932127848","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=22822 Ack=1 Win=64256 Len=2848 TSval=2010520590 TSecr=1041647201","","","","",""
"2047","62.932215288","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=25670 Ack=1 Win=64256 Len=2848 TSval=2010520590 TSecr=1041647201","","","","",""
"2048","62.932287957","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=28518 Ack=1 Win=64256 Len=2848 TSval=2010520590 TSecr=1041647201","","","","",""
"2049","62.932355033","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=31366 Ack=1 Win=64256 Len=2848 TSval=2010520590 TSecr=1041647201","","","","",""
"2050","62.932395673","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=34214 Ack=1 Win=64256 Len=2848 TSval=2010520590 TSecr=1041647201","","","","",""
"2051","62.933829316","10.10.3.105","10.10.3.59","MPTCP","1516","39317  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=1424 TSval=939775922 TSecr=1401755464","","","","",""
"2052","62.933862727","10.10.3.59","10.10.3.105","MPTCP","80","5201  >  39317 [ACK] Seq=1 Ack=1425 Win=92672 Len=0 TSval=1401755670 TSecr=939775922","0.000033411","","","",""
"2053","62.936141911","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  55092 [ACK] Seq=1 Ack=14278 Win=63488 Len=0 TSval=1041647201 TSecr=2010520500","0.093736366","","","",""
"2054","62.936534975","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=37062 Ack=1 Win=64256 Len=2848 TSval=2010520594 TSecr=1041647201","","","","",""
"2055","62.936583668","10.10.3.105","10.10.3.102","MPTCP","2940","55092  >  5201 [PSH, ACK] Seq=39910 Ack=1 Win=64256 Len=2848 TSval=2010520594 TSecr=1041647201","","","","",""
"2056","62.940541036","10.10.3.105","10.10.3.59","MPTCP","1516","39317  >  5201 [ACK] Seq=1425 Ack=1 Win=64256 Len=1424 TSval=939775922 TSecr=1401755464","","","","",""
"2057","62.940584108","10.10.3.59","10.10.3.105","MPTCP","80","5201  >  39317 [ACK] Seq=1 Ack=2849 Win=104064 Len=0 TSval=1401755677 TSecr=939775922","0.000043072","","","",""
"2058","62.944067744","10.10.3.105","10.10.3.59","MPTCP","700","39317  >  5201 [PSH, ACK] Seq=2849 Ack=1 Win=64256 Len=608 TSval=939775922 TSecr=1401755464","","","","",""
"2059","62.944096820","10.10.3.59","10.10.3.105","MPTCP","80","5201  >  39317 [ACK] Seq=1 Ack=3457 Win=104064 Len=0 TSval=1401755681 TSecr=939775922","0.000029076","","","",""
"2060","62.944948549","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  55092 [ACK] Seq=1 Ack=8582 Win=59392 Len=0 TSval=1041647201 TSecr=2010520500","","","","",""
"2061","62.948145475","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  55092 [ACK] Seq=1 Ack=2886 Win=63488 Len=0 TSval=1041647201 TSecr=2010520500","","","","",""
"2062","62.949661704","10.10.3.105","10.10.3.59","MPTCP","1516","39317  >  5201 [ACK] Seq=3457 Ack=1 Win=64256 Len=1424 TSval=939775924 TSecr=1401755670","","","","",""
"2063","62.949687943","10.10.3.59","10.10.3.105","MPTCP","80","5201  >  39317 [ACK] Seq=1 Ack=4881 Win=104064 Len=0 TSval=1401755686 TSecr=939775924","0.000026239","","","",""
"2064","62.954235422","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  55092 [ACK] Seq=1 Ack=5734 Win=61440 Len=0 TSval=1041647201 TSecr=2010520500","","","","",""
"2065","62.961532748","10.10.3.105","10.10.3.59","MPTCP","1516","39317  >  5201 [ACK] Seq=4881 Ack=1 Win=64256 Len=1424 TSval=939775924 TSecr=1401755670","","","","",""
"2066","62.961576501","10.10.3.59","10.10.3.105","MPTCP","80","5201  >  39317 [ACK] Seq=1 Ack=6305 Win=104064 Len=0 TSval=1401755698 TSecr=939775924","0.000043753","","","",""
"2067","62.973390251","10.10.3.105","10.10.3.59","MPTCP","1516","39317  >  5201 [ACK] Seq=6305 Ack=1 Win=64256 Len=1424 TSval=939775924 TSecr=1401755670","","","","",""
"2068","62.973405315","10.10.3.59","10.10.3.105","MPTCP","80","5201  >  39317 [ACK] Seq=1 Ack=7729 Win=104064 Len=0 TSval=1401755710 TSecr=939775924","0.000015064","","","",""
"2069","62.985262190","10.10.3.105","10.10.3.59","MPTCP","1516","39317  >  5201 [ACK] Seq=7729 Ack=1 Win=64256 Len=1424 TSval=939775924 TSecr=1401755670","","","","",""
"2070","62.985283945","10.10.3.59","10.10.3.105","MPTCP","80","5201  >  39317 [ACK] Seq=1 Ack=9153 Win=104064 Len=0 TSval=1401755722 TSecr=939775924","0.000021755","","","",""
"2072","62.999040942","10.10.3.105","10.10.3.59","MPTCP","1516","39317  >  5201 [PSH, ACK] Seq=9153 Ack=1 Win=64256 Len=1424 TSval=939775924 TSecr=1401755670","","","","",""
"2073","62.999059946","10.10.3.59","10.10.3.105","MPTCP","80","5201  >  39317 [ACK] Seq=1 Ack=10577 Win=104064 Len=0 TSval=1401755736 TSecr=939775924","0.000019004","","","",""
"2074","63.009089707","10.10.3.105","10.10.3.59","MPTCP","1516","39317  >  5201 [ACK] Seq=10577 Ack=1 Win=64256 Len=1424 TSval=939775933 TSecr=1401755670","","","","",""
"2075","63.009110837","10.10.3.59","10.10.3.105","MPTCP","80","5201  >  39317 [ACK] Seq=1 Ack=12001 Win=104064 Len=0 TSval=1401755746 TSecr=939775933","0.000021130","","","",""
"2076","63.021420567","10.10.3.105","10.10.3.59","MPTCP","1516","39317  >  5201 [ACK] Seq=12001 Ack=1 Win=64256 Len=1424 TSval=939775933 TSecr=1401755670","","","","",""
"2077","63.021444205","10.10.3.59","10.10.3.105","MPTCP","80","5201  >  39317 [ACK] Seq=1 Ack=13425 Win=104064 Len=0 TSval=1401755758 TSecr=939775933","0.000023638","","","",""
"2078","63.023859637","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  55092 [ACK] Seq=1 Ack=28518 Win=75520 Len=0 TSval=1041647291 TSecr=2010520590","0.091644349","","","",""
