SubflowNo,Subflow1_RTT,Subflow1_packetloss,Subflow1_Bandwidth,Subflow1_Jitter,Subflow2_RTT,Subflow2_packetloss,Subflow2_Bandwidth,Subflow2_Jitter,Subflow3_RTT,Subflow3_packetloss,Subflow3_Bandwidth,Subflow3_Jitter,Subflow1_RTT_Slope,Subflow2_RTT_Slope,Subflow3_RTT_Slope,Subflow1_Bandwidth_Slope,Subflow2_Bandwidth_Slope,Subflow3_Bandwidth_Slope,Subflow1_packetloss_Slope,Subflow2_packetloss_Slope,Subflow3_packetloss_Slope,Subflow1_Jitter_Slope,Subflow2_Jitter_Slope,Subflow3_Jitter_Slope
1.0,0.070189935,0.0,367438.9132781013,0.0333191881222411,0.120229089,0.0,888.8553700240961,0.0,0.00549497,0.0,11029918.654795043,0.0015938929999999,-0.0009892947555194815,0.0076509420272727275,0.0003676579662337662,-1810634.7012929437,8915.349723004263,657415.1951793171,0.0,0.0,0.0,0.0003904427955438151,0.0,0.0001101344406070253
1.0,0.09299633,0.0,860.2490012240426,0.0405657094550134,0.120229089,0.0,888.8553700240961,0.0,0.00549497,0.0,11029918.654795043,0.0015938929999999,-9.482848701298676e-05,0.007128206857707507,0.00035921575494071137,-1689789.7036845174,5830.168195497279,662103.4565792389,0.0,0.0,0.0,0.0006653984529805738,0.0,0.00010693306219773412
1.0,0.1163938895,0.0,8902.749031228584,0.0345540527335488,0.120229089,0.0,888.8553700240961,0.0,0.00549497,0.0,11029918.654795043,0.0015938929999999,0.00084109571714427,0.006652993067193678,0.0003488878142292488,-1579387.725029035,3419.376074616991,658473.8352902743,0.0,0.0,0.0,0.0008020271578297915,0.0,0.00010333491490590682
1.0,0.10469510975,0.0,121369.16555724767,0.0197055608956545,0.120229089,0.0,888.8553700240961,0.0,0.00549497,0.0,11029918.654795043,0.0015938929999999,0.0014363585996739143,0.006220548517826089,0.0003374464217391303,-1477459.6600487633,1528.8723807930126,649094.288544869,0.0,0.0,0.0,0.0007507260706064473,0.0,9.953099234214065e-05
1.0,0.043896145,0.0,1850.2671751107828,0.015291325287781,0.120229089,0.0,888.8553700240961,0.0,0.00549497,0.0,11029918.654795043,0.0015938929999999,0.001325267951153847,0.00582648662076923,0.00032542484769230756,-1385577.7439718135,43.075298701172606,635801.032568801,0.0,0.0,0.0,0.0006631135779819982,0.0,9.565103730934293e-05
1.0,0.092857681,0.0,1773.4540609499377,0.0178781950041058,0.120229089,0.0,888.8553700240961,0.0,0.00549497,0.0,11029918.654795043,0.0015938929999999,0.0016450622108547031,0.005466826952820512,0.00031319057709401697,-1301486.827647565,-1125.6119393428512,619914.0190442958,0.0,0.0,0.0,0.0006106640635964727,0.0,9.178260226381537e-05
1.0,0.000335822,0.0,262043.5826092396,0.0192599678706157,0.120229089,0.0,888.8553700240961,0.0,0.00549497,0.0,11029918.654795043,0.0015938929999999,0.0011515106613247874,0.005137995256410255,0.00030099519902319883,-1222353.108690258,-2044.208065256019,602385.3256197339,0.0,0.0,0.0,0.0005751573760120358,0.0,8.798398236844573e-05
1.0,0.0343563675,0.0,216806724.1685299,0.0221879763519612,0.120229089,0.0,888.8553700240961,0.0,0.00549497,0.0,11029918.654795043,0.0015938929999999,0.0009993009345238102,0.00483680243103448,0.00028900878653530357,450108.86112490774,-2764.4324906895536,583902.6129600251,0.0,0.0,0.0,0.0005641201342658746,0.0,8.429308726228692e-05
1.0,0.095659523,0.0,878.1143514587494,0.0195929254437421,0.120229089,0.0,888.8553700240961,0.0,0.00549497,0.0,11029918.654795043,0.0015938929999999,0.0012923720830049265,0.004560413720689651,0.0002773438275862067,301295.72700815724,-3326.514044379435,564962.06127626,0.0,0.0,0.0,0.0005334268354604547,0.0,8.073358509206024e-05
1.0,0.0479976725,0.0,300467.70169974276,0.0095127263461545,0.120229089,0.0,888.8553700240961,0.0,0.00549497,0.0,11029918.654795043,0.0015938929999999,0.001214776870912126,0.004306314422469412,0.00026607202981090083,180314.04288963784,-3761.970571608764,545920.3091896102,0.0,0.0,0.0,0.0004400011478312222,0.0,7.731919245631432e-05
2.0,0.0479976725,0.0,300467.70169974276,0.0095127263461545,0.120229089,0.0,117287.2003673675,0.0,0.00549497,0.0,11029918.654795043,0.0015938929999999,0.0011439139944556468,0.004072275595161291,0.0002552362112903224,80194.07135579112,-3391.6367073915253,527031.776377617,0.0,0.0,0.0,0.0003608664046437983,0.0,7.405669046542367e-05
3.0,0.0479976725,0.0,300467.70169974276,0.0095127263461545,0.120229089,0.0,117287.2003673675,0.0,0.00549497,0.0,529928.941352981,0.001308031170054,0.001079033136042889,0.003856321586326978,0.00024485876869501474,-2746.780597410244,-3067.2614402387408,448816.6698573976,0.0,0.0,0.0,0.00029361979005959246,0.0,6.932384211831859e-05
3.0,0.0479976725,0.0,300467.70169974276,0.0095127263461545,0.120229089,0.0,117287.2003673675,0.0,4.9556e-05,0.0,1856485.5920406033,0.0007873776214771,0.0010194846537433162,0.0036567002336229926,0.00020582787901069527,-71479.85691906224,-2781.99177259745,388679.7632809067,0.0,0.0,0.0,0.00023631045823814084,0.0,6.224593364507534e-05
3.0,0.0479976725,0.0,300467.70169974276,0.0095127263461545,0.120229089,0.0,117287.2003673675,0.0,0.003765009,0.0,24435.53255783336,0.0009277825409319,0.0009647039794881585,0.0034718560459893067,0.0001909867934300993,-128416.27084306537,-2530.1602928195134,327351.872305729,0.0,0.0,0.0,0.00018734514738409975,0.0,5.673977289667283e-05
